sv: Swedish
zh: Chinese
ja: Japanese
it: Italian
ko: Korean
eu: Basque
en: English
fi: Finnish
tr: Turkish
hi: Hindi
ru: Russian
ar: Arabic
he: Hebrew
akk: Akkadian
aii: Assyrian
bho: Bhojpuri
krl: Karelian
koi: K.Permyak
kpv: K.Zyrian
olo: Livvi
mr: Marathi
mdf: Moksha
sa: Sanskrit
sms: Skolt Sami
tl: Tagalog
wbp: Warlpiri
yo: Yoruba
gsw: S.German
am: Amharic
bm: Bambara
be: Belarusian
br: Breton
bxr: Buryat
yue: Cantonese
myv: Erzya
fo: Faroese
kk: Kazakh
kmr: Kurmanji
gun: M.Guarani
pcm: Naija
ta: Tamil
te: Telugu
hsb: U.Sorbian
cy: Welsh
